Start_Date, Start_Time,Start_Time_Symbol,Stop_Date, Stop_Time,Stop_Time_Symbol
9/14/2018,5:35:20,PM,9/14/2018,7:39:25,PM
9/14/2018,10:53:54,AM,9/14/2018,10:53:54,PM
9/13/2018,9:30:43,PM,9/14/2018,3:29:42,AM
9/13/2018,9:29:07,AM,9/13/2018,9:29:07,PM
9/12/2018,11:47:48,AM,9/12/2018,11:47:48,PM
9/12/2018,10:26:17,AM,9/12/2018,10:26:17,PM
9/11/2018,12:07:49,AM,9/11/2018,3:15:17,AM
9/10/2018,9:41:25,PM,9/11/2018,3:13:03,AM
9/10/2018,9:30:58,AM,9/10/2018,9:30:58,PM
9/8/2018,5:23:49,PM,9/9/2018,5:03:39,AM
9/8/2018,9:50:40,AM,9/8/2018,4:57:48,PM
9/7/2018,10:06:59,PM,9/8/2018,12:45:31,AM
9/7/2018,10:06:08,AM,9/7/2018,10:06:08,PM
9/6/2018,2:13:37,PM,9/6/2018,11:51:50,PM
9/6/2018,10:30:42,AM,9/6/2018,10:30:42,PM
9/5/2018,10:28:45,AM,9/5/2018,10:28:45,PM
9/4/2018,11:34:09,AM,9/4/2018,11:34:09,PM
9/3/2018,10:27:36,PM,9/4/2018,2:44:18,AM
9/3/2018,10:25:28,AM,9/3/2018,10:25:28,PM
9/1/2018,10:14:31,PM,9/2/2018,3:19:07,AM
9/1/2018,7:01:32,PM,9/2/2018,3:27:55,AM
9/1/2018,11:58:01,AM,9/1/2018,2:24:07,PM
9/1/2018,9:58:58,AM,9/1/2018,9:58:58,PM
8/31/2018,10:53:01,AM,8/31/2018,10:08:46,PM
8/31/2018,9:58:20,AM,8/31/2018,9:58:20,PM
8/29/2018,7:16:09,PM,8/30/2018,2:25:58,AM
8/29/2018,7:12:58,AM,8/29/2018,7:12:58,PM
8/28/2018,10:02:36,PM,8/29/2018,12:45:11,AM
8/28/2018,9:59:31,AM,8/28/2018,9:59:31,PM
8/27/2018,10:27:49,AM,8/27/2018,10:27:49,PM
8/24/2018,9:51:40,AM,8/24/2018,9:51:40,PM
8/23/2018,7:48:39,AM,8/23/2018,6:47:43,PM
8/22/2018,10:20:07,PM,8/23/2018,6:24:07,AM
8/22/2018,10:12:49,AM,8/22/2018,10:12:49,PM
8/21/2018,7:18:57,PM,8/21/2018,10:35:13,PM
8/21/2018,10:11:05,AM,8/21/2018,6:00:27,PM
8/21/2018,7:15:41,AM,8/21/2018,7:15:41,PM
8/20/2018,10:22:11,PM,8/21/2018,3:33:27,AM
8/20/2018,11:11:12,AM,8/20/2018,8:56:50,PM
8/20/2018,10:18:32,AM,8/20/2018,10:18:32,PM
8/18/2018,9:49:07,AM,8/18/2018,8:43:31,PM
8/17/2018,10:18:19,AM,8/17/2018,10:18:19,PM
8/16/2018,10:23:13,AM,8/16/2018,10:23:13,PM
8/14/2018,10:37:37,AM,8/14/2018,10:18:14,PM
8/13/2018,10:44:57,AM,8/13/2018,10:19:51,PM
8/11/2018,9:59:28,AM,8/11/2018,9:39:04,PM
8/10/2018,9:58:42,AM,8/10/2018,9:58:42,PM
8/9/2018,11:25:15,AM,8/9/2018,9:08:30,PM
