Start Time,,,Stop Time,,
9/14/2018,10:37:24,PM,9/15/2018,2:48:19,AM
9/14/2018,7:07:25,PM,9/15/2018,3:16:36,AM
9/14/2018,11:22:26,AM,9/14/2018,2:35:08,PM
9/14/2018,10:36:41,AM,9/14/2018,10:36:41,PM
9/13/2018,11:47:48,PM,9/14/2018,6:04:14,AM
9/13/2018,6:07:13,PM,9/13/2018,10:52:32,PM
9/13/2018,5:36:23,PM,9/14/2018,5:36:23,AM
9/13/2018,1:21:17,AM,9/13/2018,3:21:56,AM
9/12/2018,10:58:47,PM,9/13/2018,2:59:24,AM
9/12/2018,1:11:19,PM,9/13/2018,1:11:19,AM
9/12/2018,10:33:12,AM,9/12/2018,10:33:12,PM
9/11/2018,11:58:13,PM,9/12/2018,2:04:35,AM
9/11/2018,5:06:17,PM,9/12/2018,12:32:12,AM
9/11/2018,11:14:14,AM,9/11/2018,11:14:14,PM
9/10/2018,11:20:44,PM,9/11/2018,1:44:08,AM
9/10/2018,12:16:00,PM,9/11/2018,12:16:00,AM
9/10/2018,11:19:58,AM,9/10/2018,11:19:58,PM
9/8/2018,5:38:02,PM,9/9/2018,4:53:25,AM
9/8/2018,5:25:12,PM,9/8/2018,11:45:01,PM
9/8/2018,10:30:51,AM,9/8/2018,4:19:24,PM
9/8/2018,10:30:19,AM,9/8/2018,5:00:06,PM
9/7/2018,9:45:57,PM,9/8/2018,12:44:09,AM
9/7/2018,11:05:10,AM,9/7/2018,11:05:10,PM
9/7/2018,9:31:21,AM,9/7/2018,9:31:21,PM
9/6/2018,8:56:06,PM,9/7/2018,12:25:07,AM
9/6/2018,3:22:48,PM,9/7/2018,12:31:47,AM
9/6/2018,9:33:27,AM,9/6/2018,3:06:32,PM
9/6/2018,8:50:47,AM,9/6/2018,8:50:47,PM
9/5/2018,12:03:34,PM,9/5/2018,11:42:53,PM
9/5/2018,11:26:38,AM,9/5/2018,11:26:38,PM
9/4/2018,11:06:51,PM,9/5/2018,1:10:11,AM
9/4/2018,10:22:26,PM,9/5/2018,1:06:05,AM
9/4/2018,10:53:33,AM,9/4/2018,10:53:33,PM
