Start Time,,,Stop Time,,
9/14/2018,10:43:39,AM,9/14/2018,10:43:39,PM
9/13/2018,10:21:18,AM,9/13/2018,10:21:18,PM
9/12/2018,10:38:02,AM,9/12/2018,10:38:02,PM
9/11/2018,4:23:20,PM,9/12/2018,12:44:09,AM
9/11/2018,10:57:26,AM,9/11/2018,2:27:01,PM
9/11/2018,10:38:48,AM,9/11/2018,10:38:48,PM
9/10/2018,10:28:34,AM,9/10/2018,10:28:34,PM
9/8/2018,10:43:31,AM,9/8/2018,10:43:31,PM
9/7/2018,3:20:02,PM,9/7/2018,8:29:10,PM
9/7/2018,10:30:17,AM,9/7/2018,10:30:17,PM
9/6/2018,10:06:30,AM,9/6/2018,10:06:30,PM
9/5/2018,10:15:59,AM,9/5/2018,10:15:59,PM
9/4/2018,10:23:04,AM,9/4/2018,10:23:04,PM
9/3/2018,10:48:19,AM,9/3/2018,10:48:19,PM
9/1/2018,10:04:29,AM,9/1/2018,10:04:29,PM
