Start,Time,,Stop,Time,
9/14/2018,9:54:02,AM,9/14/2018,9:54:02,PM
9/14/2018,9:53:37,AM,9/14/2018,9:52:43,PM
9/12/2018,9:29:50,AM,9/12/2018,9:29:50,PM
9/12/2018,9:29:34,AM,9/12/2018,9:29:34,PM
9/11/2018,9:46:48,AM,9/11/2018,9:38:07,PM
9/11/2018,9:45:59,AM,9/11/2018,9:45:59,PM
9/8/2018,9:44:11,PM,9/8/2018,11:46:07,PM
9/8/2018,5:20:15,PM,9/9/2018,12:52:05,AM
9/8/2018,9:42:11,AM,9/8/2018,9:42:11,PM
9/8/2018,9:35:11,AM,9/8/2018,5:00:42,PM
9/7/2018,10:52:53,AM,9/7/2018,10:15:40,PM
9/7/2018,10:10:23,AM,9/7/2018,9:57:35,PM
9/6/2018,9:06:11,AM,9/6/2018,9:06:11,PM
9/6/2018,8:52:15,AM,9/6/2018,8:52:15,PM
9/5/2018,8:48:58,AM,9/5/2018,6:36:22,PM
9/5/2018,8:42:50,AM,9/5/2018,6:56:45,PM
9/4/2018,9:19:43,AM,9/4/2018,9:19:43,PM
9/4/2018,8:56:46,AM,9/4/2018,8:56:46,PM
9/3/2018,11:12:27,PM,9/4/2018,1:12:37,AM
9/3/2018,10:01:41,AM,9/3/2018,7:11:21,PM
9/3/2018,9:53:40,AM,9/3/2018,7:17:30,PM
8/31/2018,10:00:24,AM,8/31/2018,7:55:18,PM
8/31/2018,9:58:08,AM,8/31/2018,9:29:51,PM
8/30/2018,9:43:49,AM,8/30/2018,9:43:49,PM
8/30/2018,9:34:11,AM,8/30/2018,9:34:11,PM
8/29/2018,9:52:34,AM,8/29/2018,9:10:34,PM
8/29/2018,9:29:31,AM,8/29/2018,9:02:43,PM
8/28/2018,9:30:37,AM,8/28/2018,9:30:37,PM
8/28/2018,9:21:05,AM,8/28/2018,9:21:05,PM
8/27/2018,11:00:04,PM,8/28/2018,1:00:10,AM
8/27/2018,3:30:35,PM,8/27/2018,6:59:50,PM
8/27/2018,10:34:50,AM,8/27/2018,7:22:22,PM
8/27/2018,10:01:21,AM,8/27/2018,3:30:26,PM
8/24/2018,9:21:40,AM,8/24/2018,9:21:40,PM
8/24/2018,9:10:48,AM,8/24/2018,9:10:48,PM
8/23/2018,5:55:54,PM,8/23/2018,7:56:18,PM
8/23/2018,11:12:12,AM,8/23/2018,1:57:56,PM
8/23/2018,9:35:35,AM,8/23/2018,1:55:48,PM
8/22/2018,8:56:24,AM,8/22/2018,8:56:24,PM
8/22/2018,8:55:13,AM,8/22/2018,8:55:13,PM
8/21/2018,9:58:24,AM,8/21/2018,9:24:54,PM
8/21/2018,9:52:29,AM,8/21/2018,9:31:44,PM
8/20/2018,10:29:50,AM,8/20/2018,8:47:11,PM
8/20/2018,10:19:02,AM,8/20/2018,8:54:47,PM
8/18/2018,10:05:13,AM,8/18/2018,10:05:13,PM
8/18/2018,9:51:08,AM,8/18/2018,9:51:08,PM
8/16/2018,9:42:21,AM,8/16/2018,9:08:46,PM
8/16/2018,9:31:49,AM,8/16/2018,9:14:55,PM
8/14/2018,10:16:27,AM,8/14/2018,10:10:26,PM
8/14/2018,10:05:23,AM,8/14/2018,9:16:17,PM
8/13/2018,10:10:43,AM,8/13/2018,9:16:12,PM
8/13/2018,10:10:28,AM,8/13/2018,9:21:50,PM
8/11/2018,9:37:31,AM,8/11/2018,9:37:17,PM
8/11/2018,9:36:09,AM,8/11/2018,9:36:09,PM
8/10/2018,10:07:52,AM,8/10/2018,10:07:52,PM
8/10/2018,9:41:39,AM,8/10/2018,9:41:39,PM
8/9/2018,9:23:01,AM,8/9/2018,7:05:18,PM
8/9/2018,9:21:24,AM,8/9/2018,7:29:47,PM
8/8/2018,9:47:41,AM,8/8/2018,9:47:41,PM
8/8/2018,9:46:46,AM,8/8/2018,9:46:46,PM
8/7/2018,9:54:24,AM,8/7/2018,12:22:52,PM
8/7/2018,9:40:45,AM,8/7/2018,9:40:45,PM
8/6/2018,10:15:20,AM,8/6/2018,12:07:47,PM
8/6/2018,10:14:19,AM,8/6/2018,12:07:47,PM
8/3/2018,9:53:44,AM,8/3/2018,9:29:03,PM
8/3/2018,9:46:02,AM,8/3/2018,9:37:56,PM
8/1/2018,9:34:37,AM,8/1/2018,9:32:25,PM
8/1/2018,9:30:10,AM,8/1/2018,9:30:10,PM
